sample,patient_id,tissue_site,cell_type_clean,Cell_subtype,n_cells,T_CELL_EXHAUSTION,CYTOTOXICITY,MYELOID_INFLAMMATION,MACROPHAGE_LIKE,EMT_INVASION,HYPOXIA,PROLIFERATION
EBUS_10,10,advanced_airway_tumor,Myeloid cells,CD163+CD14+ DCs,70,0.11565138668571429,0.03854283722857143,1.52855894,1.1181537096285714,0.6058059901428571,0.7484734232857143,0.5013661582857143
EBUS_10,10,advanced_airway_tumor,Myeloid cells,CD1c+ DCs,28,0.19326426821428572,0.05310036928571428,0.7453569335714285,0.4098502839285714,0.6071717242857143,0.6526294867857143,0.10613383982142857
EBUS_10,10,advanced_airway_tumor,Myeloid cells,CD207+CD1a+ LCs,3,0.17895364,0.03133519333333334,0.40078803333333335,0.6391779433333333,0.52604294,0.4487327333333333,0.5114437933333333
EBUS_10,10,advanced_airway_tumor,Myeloid cells,Monocytes,134,0.03735470089552239,0.025052258880597013,2.8391196679104476,0.21916319485074626,0.6295360200746268,0.4242013701492537,0.13466799104477611
EBUS_10,10,advanced_airway_tumor,Myeloid cells,Pleural Mac,10,0.25411084700000003,0.0508964883,0.972609471,1.9773379800000002,0.615494113,0.7107589940000001,0.40484703099999997
EBUS_10,10,advanced_airway_tumor,Myeloid cells,Undetermined,84,0.06236210091666667,0.054783654059523804,0.7080281903571428,1.1982117440476192,0.46642154321428575,0.6840178867857143,0.20884837654761904
EBUS_10,10,advanced_airway_tumor,Myeloid cells,mo-Mac,469,0.1075600828358209,0.04146300652452026,1.4007393619701494,1.923147727654584,0.6689868913432836,0.8264861312153519,0.21661587462046908
EBUS_10,10,advanced_airway_tumor,Myeloid cells,pDCs,14,0.05330875885714286,0.7122553021428571,0.08151983385714286,0.09294570742857143,0.4582680671428571,0.37556869142857147,0.26679302314285713
EBUS_10,10,advanced_airway_tumor,NK cells,NK,21,0.19502995142857144,2.963836533333333,0.11014408714285714,0.057369695238095236,0.24594605428571428,0.3218885404761905,0.2180848238095238
EBUS_10,10,advanced_airway_tumor,T lymphocytes,CD4+ Th,49,0.16885797000000002,0.36319356306122447,0.13070020897959184,0.1212190942857143,0.3845705269387755,0.47232660285714284,0.16848863346938775
EBUS_10,10,advanced_airway_tumor,T lymphocytes,CD8 low T,58,0.39773389758620686,1.2540968722413792,0.11933360017241379,0.08501643051724138,0.34562737862068965,0.4490909213793104,0.21848875137931034
EBUS_10,10,advanced_airway_tumor,T lymphocytes,Cytotoxic CD8+ T,18,0.16565994777777776,2.2045272666666667,0.1602558388888889,0.11672162722222224,0.41483472055555554,0.36600333944444446,0.12841782777777777
EBUS_10,10,advanced_airway_tumor,T lymphocytes,Exhausted CD8+ T,187,0.7600197413368984,2.0265252203743316,0.10897826272727272,0.10480458026737967,0.3676683370588235,0.5108279648663101,0.2952956392513369
EBUS_10,10,advanced_airway_tumor,T lymphocytes,Exhausted Tfh,13,0.5649682084615384,0.2761661630769231,0.09080110999999999,0.13917000846153846,0.28232036846153846,0.5849115484615385,0.22916423
EBUS_10,10,advanced_airway_tumor,T lymphocytes,NK,32,0.388174659375,2.10356460625,0.0557492196875,0.0506542265625,0.23679234531249999,0.5015313771875,0.2466026775
EBUS_10,10,advanced_airway_tumor,T lymphocytes,Naive CD4+ T,355,0.08905762352112676,0.035517034309859155,0.0795303442253521,0.0738254063943662,0.2404188013521127,0.3722591456619718,0.13368205546478873
EBUS_10,10,advanced_airway_tumor,T lymphocytes,Naive CD8+ T,56,0.21760161285714283,1.1366165889285713,0.14403215535714287,0.08792476660714287,0.2863651330357143,0.33914673285714286,0.12130896910714285
EBUS_10,10,advanced_airway_tumor,T lymphocytes,Treg,241,0.5937258708713693,0.10647376390041494,0.10369059593360996,0.09386483286307054,0.18966800112033194,0.49907812058091283,0.1835604746887967
EBUS_10,10,advanced_airway_tumor,T lymphocytes,Undetermined,52,0.608955825,1.0676418259807692,0.12176820034615385,0.10767982665384615,0.3970450453846154,0.8120725653846155,1.8366625388461537
EBUS_12,12,advanced_airway_tumor,B lymphocytes,Follicular B cells,126,0.009746850158730159,0.00517793373015873,0.10147861507936508,0.19376522182539682,0.19827150095238094,0.22834238769841272,0.07132842404761904
EBUS_12,12,advanced_airway_tumor,B lymphocytes,GC B cells in the DZ,1,0.0,0.0,0.0,0.0,0.41250613,0.5457104,1.8792086
EBUS_12,12,advanced_airway_tumor,B lymphocytes,GC B cells in the LZ,2,0.0,0.0,0.0,0.114143825,0.314041045,0.926218075,0.36638122500000003
EBUS_12,12,advanced_airway_tumor,B lymphocytes,MALT B cells,19,0.015644731736842103,0.1342763625263158,0.132356179,0.2534501321052631,0.17616914373684212,0.3035747955789474,0.05132242110526316
EBUS_12,12,advanced_airway_tumor,B lymphocytes,Plasma cells,24,0.0263292675,0.13269789333333334,0.14836641875,0.2093894675,0.10962747083333334,0.16845840999999998,0.008132224166666667
EBUS_12,12,advanced_airway_tumor,B lymphocytes,Undetermined,4,0.0822461325,0.36115495,0.09644882,0.20506607249999997,0.3129539475,0.3618475675,0.36137168
EBUS_12,12,advanced_airway_tumor,Epithelial cells,Malignant cells,257,0.0074983017373540855,0.011236133480544747,0.6564125100233462,0.3208052278832685,0.4050037392607004,1.100413107782101,0.3611391609766537
EBUS_12,12,advanced_airway_tumor,Fibroblasts,COL14A1+ matrix FBs,1,0.0,0.0,0.0,0.44623625,1.3863478,0.417593,0.093271084
EBUS_12,12,advanced_airway_tumor,Fibroblasts,Myofibroblasts,11,0.03221247681818182,0.02673297272727273,0.21084045545454544,0.270081405,1.4497171818181818,0.4915473418181818,0.19887435
EBUS_12,12,advanced_airway_tumor,Myeloid cells,Activated DCs,9,0.0911868311111111,0.10294112222222222,0.1261486877777778,0.29013109666666664,0.5787274222222223,0.8298334377777778,0.19182744666666665
EBUS_12,12,advanced_airway_tumor,Myeloid cells,Alveolar Mac,2,0.048138185,0.0,1.4045242500000001,2.5719644,0.83803855,0.6693459749999999,0.078454995
EBUS_12,12,advanced_airway_tumor,Myeloid cells,CD141+ DCs,3,0.33331836666666664,0.0,0.46037046333333337,0.24896422999999998,0.6198947833333334,0.4643243533333334,0.11382724
EBUS_12,12,advanced_airway_tumor,Myeloid cells,CD163+CD14+ DCs,4,0.1202531775,0.123035955,1.994658,0.161926321,0.7655778775,0.85067333,0.4300854825
EBUS_12,12,advanced_airway_tumor,Myeloid cells,CD1c+ DCs,11,0.16796137954545454,0.035025545454545455,1.1143698172727274,0.29212941681818183,0.7639531772727274,0.785249339090909,0.2621834519090909
EBUS_12,12,advanced_airway_tumor,Myeloid cells,CD207+CD1a+ LCs,56,0.17630522026785714,0.021667307214285718,0.4281269079285714,0.5008214698214285,0.5898447776785715,0.7259780133928572,0.2927657525
EBUS_12,12,advanced_airway_tumor,Myeloid cells,Monocytes,156,0.028897102115384616,0.025459942435897435,2.8806566685897437,0.30538009641025643,0.678600365,0.4365307836538462,0.08923324602564102
EBUS_12,12,advanced_airway_tumor,Myeloid cells,Pleural Mac,13,0.16479643153846152,0.035974995384615384,1.485487823846154,1.6514589923076923,0.5669682946153846,0.7174357130769231,0.10737359153846154
