tissue_site,cell_type_clean,Cell_subtype,total_cells,n_sample_subtypes,mean_cells_per_sample,T_CELL_EXHAUSTION,CYTOTOXICITY,MYELOID_INFLAMMATION,MACROPHAGE_LIKE,EMT_INVASION,HYPOXIA,PROLIFERATION
normal_lymph_node,T lymphocytes,CD8 low T,921,10,92.1,0.25079194321176196,0.8003812467896022,0.030726448741610173,0.025600534284304817,0.24289960042244663,0.27167542633333336,0.18110336581977787
normal_lymph_node,T lymphocytes,CD8+/CD4+ Mixed Th,36,1,36.0,0.15092390277777779,0.2566282788888889,0.027157414166666664,0.17924491666666667,0.31334724416666665,0.31865405416666664,0.1997844658333333
normal_lymph_node,T lymphocytes,Cytotoxic CD8+ T,113,4,28.25,0.26656346231345474,1.2787125894345868,0.04220845309537798,0.0118762087153349,0.33071408073061104,0.27235299233215826,0.17706213853701527
normal_lymph_node,T lymphocytes,Exhausted CD8+ T,120,5,24.0,0.4870165484572935,1.1839916356492188,0.020181888200489363,0.05515096448221344,0.2774780135751741,0.33318979287528705,0.2407146270315829
normal_lymph_node,T lymphocytes,NK,267,7,38.142857142857146,0.18713723431557158,1.7067256867532055,0.021945943944713674,0.04204118511008375,0.2191102647798968,0.2986889886424989,0.1566213462593999
normal_lymph_node,T lymphocytes,Naive CD4+ T,13713,10,1371.3,0.06514058869739513,0.05293553611288944,0.013716044409334474,0.02922025527653575,0.22130316889741025,0.2521356568423071,0.14143853986350527
normal_lymph_node,T lymphocytes,Naive CD8+ T,1317,10,131.7,0.2328803953177236,0.8859174867614948,0.03218939838103933,0.03279138072205877,0.22803955891962974,0.26089157448451833,0.165605138068883
normal_lymph_node,T lymphocytes,Treg,1516,10,151.6,0.4580054612880562,0.07779632136790433,0.015673174853991105,0.032491925794753254,0.21323260553491533,0.3522114729032233,0.18315630136245822
normal_lymph_node,T lymphocytes,Undetermined,82,3,27.333333333333332,0.26784414883491264,0.43361706979979564,0.018290801871943516,0.017024688947324413,0.41069776060776664,0.5948360462246377,1.3420396996752137
pleural_effusion,B lymphocytes,Follicular B cells,3019,5,603.8,0.0034176872276052866,0.03642248450993085,0.08344644017109668,0.027795482983117747,0.18197242947939035,0.2479783822469633,0.15933317494237273
pleural_effusion,B lymphocytes,MALT B cells,70,2,35.0,0.018566847544217686,0.09495441847959184,0.08996312081292517,0.036906090571428574,0.1574974396734694,0.36338679267687074,0.3175531933129252
pleural_effusion,B lymphocytes,Undetermined,119,2,59.5,0.06551042691071429,0.20981969510714282,0.040095612571428574,0.0010545541666666667,0.3030567150595238,0.45984565963095236,0.20047044393452382
pleural_effusion,Myeloid cells,Activated DCs,57,2,28.5,0.03481785365476191,0.05087901859325397,0.2035407170793651,0.11799195516071428,0.48418876660714283,0.697152567718254,0.13993232296031746
pleural_effusion,Myeloid cells,CD141+ DCs,21,1,21.0,0.142596096,0.1412468178095238,0.1482374739047619,0.05696737357142857,0.47810062761904765,0.5259139766666666,0.15911211361904762
pleural_effusion,Myeloid cells,Pleural Mac,2713,5,542.6,0.07040686169499392,0.06665226695485219,1.569007980359015,0.8077834224869813,0.5527458882711201,0.6922219973684592,0.13210142613564727
