tissue_site,cell_type_clean,Cell_subtype,n_cells,total_cells,fraction
primary_tumor,NK cells,Cytotoxic CD8+ T,24,38489,0.0006235547818857336
primary_tumor,NK cells,Exhausted CD8+ T,1,38489,2.59814492452389e-05
primary_tumor,NK cells,NK,500,38489,0.01299072462261945
primary_tumor,NK cells,Undetermined,3,38489,7.79443477357167e-05
primary_tumor,T lymphocytes,CD4+ Th,3571,38489,0.0927797552547481
primary_tumor,T lymphocytes,CD8 low T,776,38489,0.020161604614305387
primary_tumor,T lymphocytes,CD8+/CD4+ Mixed Th,2464,38489,0.06401829094026865
primary_tumor,T lymphocytes,Cytotoxic CD8+ T,394,38489,0.010236691002624126
primary_tumor,T lymphocytes,Exhausted CD8+ T,1761,38489,0.0457533321208657
primary_tumor,T lymphocytes,Exhausted Tfh,385,38489,0.010002857959416977
primary_tumor,T lymphocytes,NK,239,38489,0.006209566369612097
primary_tumor,T lymphocytes,Naive CD4+ T,1743,38489,0.0452856660344514
primary_tumor,T lymphocytes,Naive CD8+ T,203,38489,0.005274234196783497
primary_tumor,T lymphocytes,Treg,1608,38489,0.04177817038634415
primary_tumor,T lymphocytes,Undetermined,259,38489,0.006729195354516875
